"Date","User ID","Alias","Allocation","MTM","MTM %","Algo","Server","DTE","Index"
"2026-06-11","04101961","MSR_KABRA1_INT","12000000","98445","0.82%","1","VS14","0DTE","SX"
"2026-06-11","06954037","MSR_AJAY_TAMBI_POS","10000000","85150","0.85%","1","VS13","0DTE","SX"
"2026-06-11","10408756","CC_CHADARAM_ARUNA_POS","12000000","183232","1.53%","7","VS11","0DTE","SX"
"2026-06-11","11216274","A1_JM_POS","68000000","555468","0.82%","1","VS12","0DTE","SX"
"2026-06-11","14419090","MSG_TANYA_POS","10000000","105785","1.06%","7","VS7","0DTE","SX"
"2026-06-11","15524387","MSG_RICHA_KAUR_POS","6000000","109949","1.83%","1","VS15","0DTE","SX"
"2026-06-11","16384608","CC_ALPANAG_POS","8000000","95654","1.20%","1","VS14","0DTE","SX"
"2026-06-11","17055796","CCG_HARSHA_INT","2000000","16652","0.83%","1","VS15","0DTE","SX"
"2026-06-11","18400763","MSG_KONATHALA_RAMYA_POS","12000000","129132","1.08%","1","VS15","0DTE","SX"
"2026-06-11","19583994","CC_CHARUB_POS","10000000","122964","1.23%","7","VS11","0DTE","SX"
"2026-06-11","2029","A1_VM_INT","20000000","104571","0.52%","1","VS6","0DTE","SX"
"2026-06-11","2031","A7_VMATHRAM_INT","20000000","166509","0.83%","7","VS26","0DTE","SX"
"2026-06-11","2033","A15_VMTHRAM_INT","20000000","157957","0.79%","15","VS2","0DTE","SX"
"2026-06-11","2035","A8_VM_2C","20000000","6348","0.03%","8","VS1","0DTE","SX"
"2026-06-11","2037","A19_VM","20000000","-235045.2","-1.18%","19","VS25","5DTE_1DTE","NF_SX"
"2026-06-11","22196536","CC_KRUPALPATEL_POS","8000000","96923","1.21%","1","VS15","0DTE","SX"
"2026-06-11","24699329","CC_PUNEETG_POS","10000000","110918","1.11%","7","VS4","0DTE","SX"
"2026-06-11","27344149","CC_VIDHIM_INT","4000000","57942","1.45%","1","VS15","0DTE","SX"
"2026-06-11","29898256","CC_AKASA_POS","10000000","89215","0.89%","1","VS14","0DTE","SX"
"2026-06-11","30368271","CC_NIDHIC_POS","10000000","93266","0.93%","1","VS15","0DTE","SX"
"2026-06-11","35300800","MSG_RAMAGURU_POS","6000000","111338","1.86%","1","VS15","0DTE","SX"
"2026-06-11","36985212","MSR_SANJAYG1_POS","10000000","102899","1.03%","7","VS7","0DTE","SX"
"2026-06-11","38994909","MSR_PTAK5_INT","40000000","-453818.6","-1.13%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","40023384","CC_MANASIF_POS","6000000","105564","1.76%","1","VS15","0DTE","SX"
"2026-06-11","44109343","CCV_HARSHT_INT","4000000","45853","1.15%","1","VS12","0DTE","SX"
"2026-06-11","46891412","CC_PRIYANKB_POS","8000000","99379","1.24%","1","VS15","0DTE","SX"
"2026-06-11","46966951","CC_PUSHKARA_POS","8000000","119927","1.50%","7","VS11","0DTE","SX"
"2026-06-11","51039I","A8_RAJAT_1_4C","40000000","-92996","-0.23%","8","VS5","0DTE","SX"
"2026-06-11","51039J","A7_RAJATD2_INT","20000000","176765","0.88%","7","VS26","0DTE","SX"
"2026-06-11","51039K","A19_RAJATD3","20000000","-204105.55","-1.02%","19","VS22","5DTE_1DTE","NF_SX"
"2026-06-11","51039L","A15_RAJATD4_INT","20000000","153069","0.77%","15","VS19","0DTE","SX"
"2026-06-11","51039M","A1_RAJATD5_INT","20000000","156604","0.78%","1","VS10","0DTE","SX"
"2026-06-11","54046262","CC_ANKITBAJ_1_4CR_POS","14000000","140064","1.00%","1","VS12","0DTE","SX"
"2026-06-11","55802167","CC_SAMATAPAT_POS","8000000","105276","1.32%","1","VS15","0DTE","SX"
"2026-06-11","55910733","CCV_VAIBHAVT_INT","6000000","81106","1.35%","1","VS18","0DTE","SX"
"2026-06-11","56718024","CC_MAYURJADHAV_INT","4000000","51775","1.29%","1","VS15","0DTE","SX"
"2026-06-11","57437129","CC_SCHOUGULE_POS","12000000","157659","1.31%","7","VS4","0DTE","SX"
"2026-06-11","58463721","CCV_ROHITP_POS","6000000","101052","1.68%","7","VS11","0DTE","SX"
"2026-06-11","58480023","CC_VAIBHAVB_POS","8000000","96620","1.21%","1","VS13","0DTE","SX"
"2026-06-11","62288965","MSG_NILOY_JAIN_POS","8000000","95429","1.19%","1","VS15","0DTE","SX"
"2026-06-11","64785796","CC_MEGHAAG_POS","12000000","150250","1.25%","7","VS4","0DTE","SX"
"2026-06-11","65872914","CC_LALITAB_POS","2000000","29053","1.45%","1","VS15","0DTE","SX"
"2026-06-11","67975010","MSR_GAURAVG_POS","10000000","78794","0.79%","1","VS14","0DTE","SX"
"2026-06-11","6KNS59402","MSR_SJVJ4_INT","10000000","67542","0.68%","7","VS9","0DTE","SX"
"2026-06-11","71430960","CCV_SOMINJ_POS","6000000","99286","1.65%","7","VS11","0DTE","SX"
"2026-06-11","72881081","CC_PIYUSHK_INT","4000000","54528","1.36%","1","VS15","0DTE","SX"
"2026-06-11","74059822","MSR_VAIBHAVG1_POS","14000000","158914","1.14%","1","VS3","0DTE","SX"
"2026-06-11","74125896","MSR_RITESHS2_POS","12000000","89083","0.74%","1","VS6","0DTE","SX"
"2026-06-11","74727658","CC_PALAKS_POS","6000000","103445","1.72%","1","VS15","0DTE","SX"
"2026-06-11","74962685","CC_MANISHA_POS","6000000","108054","1.80%","1","VS15","0DTE","SX"
"2026-06-11","75962003","MSV_SAANVI_POS","14000000","111256","0.79%","1","VS12","0DTE","SX"
"2026-06-11","77149338","CC_JATING_POS","6000000","99106","1.65%","7","VS4","0DTE","SX"
"2026-06-11","78651236","MSP_AMITP6","20000000","-12792","-0.06%","8","VS1","0DTE","SX"
"2026-06-11","7RA110015","MSV_KALPESHV_POS","12000000","120806.2","1.01%","1","VS3","0DTE","SX"
"2026-06-11","7RA110024","MSR_PAREEKK1_INT","12000000","88987","0.74%","1","VS3","0DTE","SX"
"2026-06-11","7RA110031","MSR_SAURABHB_POS","10000000","107801.6","1.08%","1","VS3","0DTE","SX"
"2026-06-11","7RA110032","MSR_RDANGAYACH4_INT","64000000","569771","0.89%","1","VS3","0DTE","SX"
"2026-06-11","7RA110035","MSR_RDANGAYACH5_FULL_POS10CR","110000000","1036250","0.94%","7","VS9","0DTE","SX"
"2026-06-11","7RA110045","MSR_KUSHAGRAMT_POS","10000000","107297.6","1.07%","1","VS3","0DTE","SX"
"2026-06-11","7RA110080","MSR_MSMELODIA7","20000000","115651","0.58%","8","VS1","0DTE","SX"
"2026-06-11","7RA110081","MSR_LODHA3_INT","44000000","381707","0.87%","1","VS3","0DTE","SX"
"2026-06-11","7RA110084","MSR_MSMELODIA4","20000000","121299.2","0.61%","8","VS1","0DTE","SX"
"2026-06-11","7RA110085","MSR_BHOJWANI2_POS","10000000","113358.8","1.13%","1","VS3","0DTE","SX"
"2026-06-11","7RA110095","MSR_MAHESHWARI1_POS","8000000","109149","1.36%","1","VS3","0DTE","SX"
"2026-06-11","7RA110113","MSR_AGNANI2_INT","10000000","68892","0.69%","7","VS9","0DTE","SX"
"2026-06-11","7RA110114","MSR_KALPANAAG1_INT","10000000","58513","0.59%","7","VS9","0DTE","SX"
"2026-06-11","7RA110116","MSR_SUBODHKG_POS","6000000","104169.4","1.74%","1","VS3","0DTE","SX"
"2026-06-11","7RA110117","MSR_MEHTA2_POS","12000000","118014.8","0.98%","7","VS9","0DTE","SX"
"2026-06-11","7RA110119","MSR_LOKESHGARG_3C","30000000","185758.2","0.62%","8","VS1","0DTE","SX"
"2026-06-11","7RA1APC","MSR_GINNI1_INT","8000000","81263","1.02%","1","VS3","0DTE","SX"
"2026-06-11","7RA1GF07","MSR_GINNI4_INT","6000000","79778","1.33%","1","VS3","0DTE","SX"
"2026-06-11","7RA1GFL","MSR_GINNI6_INT","6000000","94574","1.58%","1","VS10","0DTE","SX"
