user_id,alias,mtm_all,allocation,max_loss,server,date,broker,algo,operator,sqoff_done,enabled,logged_in,qty_multiplier,available_margin,total_orders,total_lots,remark,index,dte,sno,cumulative_mtm
4101961,MS_MEENAKESHAVK,-410858.5,70000,70000,VS2,12-04-2024,IIFL_CDC,7,,1,1,1,1,13784450.5,248,6660,,SX,0DTE,7491,-410858.5
4101961,MS_MEENAKESHAVK,148808,138000,138000,VS2,16-04-2024,IIFL_CDC,7,,0,1,1,1,13706800.25,543,36960,,BNF,0DTE,7847,-262050.5
4101961,MS_MEENAKESHAVK,-1217680,138000,138000,VS2,18-04-2024,IIFL_CDC,7,,1,1,1,1,5426081.65,391,102600,,NF,0DTE,8130,-1479730.5
4101961,MS_MEENAKESHAVK,-33538,128000,128000,VS2,07-05-2024,IIFL_CDC,7,,0,1,1,1,12746774,71,13280,,FIN,0DTE,8342,-1513268.5
4101961,MS_MEENAKESHAVK,-125658.75,127000,127000,VS2,08-05-2024,IIFL_CDC,7,,0,1,1,1,12563776.25,508,38190,,BNF,0DTE,8473,-1638927.25
4101961,MS_MEENAKESHAVK,111005,127000,127000,VS2,09-05-2024,IIFL_CDC,7,,0,1,1,1,12525744.76,785,67700,,NF,0DTE,8500,-1527922.25
4101961,MS_MEENAKESHAVK,27250.5,60000,60000,VS2,10-05-2024,IIFL_CDC,7,,0,1,1,1,12491460.96,825,11760,,SX,0DTE,8679,-1500671.75
4101961,MS_MEENAKESHAVK,210545.75,100000,100000,VS2,15-05-2024,IIFL_CDC,7,,0,1,1,1,12542706.96,974,48110,,BNF,0DTE,9029,-1290126
4101961,MS_MEENAKESHAVK,-122251.25,120000,120000,VS2,16-05-2024,IIFL_CDC,7,,1,1,1,1,10155088.12,362,31600,,NF,0DTE,9228,-1412377.25
4101961,MS_MEENAKESHAVK,141740.75,60000,60000,VS2,17-05-2024,IIFL_CDC,7,,0,1,1,1,12879199,808,11250,,SX,0DTE,9273,-1270636.5
